ticker,announce_date,counterparty,deal_mw,source_url,note
CEG,2024-09-20,MSFT,835,https://www.constellationenergy.com/news/2024/Constellation-to-Launch-Crane-Clean-Energy-Center-Restoring-Jobs-and-Carbon-Free-Power-to-The-Grid.html,20-year PPA Three Mile Island Unit 1 restart Crane Clean Energy Center
VST,2026-01-09,META,2600,https://investor.vistracorp.com/2026-01-09-Vistra-and-Meta-Announce-Agreements-to-Support-Nuclear-Plants-in-PJM-and-Add-New-Nuclear-Generation-to-the-Grid,20-year PPAs Davis-Besse Perry Beaver Valley + 433 MW uprates
CEG,2023-06-29,MSFT,,https://www.constellationenergy.com/newsroom/2023/Constellation-signs-hourly-carbon-free-energy-matching-agreement-with-Microsoft-to-support-a-clean-powered-data-center.html,Boydton VA hourly carbon-free matching agreement - up to 35% nuclear environmental attributes - deal_mw not disclosed binary fallback per prereg §3.2
CEG,2025-06-03,META,1121,https://www.constellationenergy.com/newsroom/2025/constellation-meta-sign-20-year-deal-for-clean-reliable-nuclear-energy-in-illinois.html,20-year PPA Clinton Clean Energy Center Illinois plus 30 MW uprate beginning June 2027
VST,2025-09-29,AMZN,1200,https://www.powermag.com/talen-amazon-launch-18b-nuclear-ppa-a-grid-connected-ipp-model-for-the-data-center-era/,20-year PPA Comanche Peak nuclear plant Texas - delivery from Q4 2027 ramping to full capacity by 2032
